Company Name,Title,Description,Location,Started On,Finished On
Sanas,Staff Engineer,"Operating as an internal technical co-founder driving ""Zero-to-One"" generative AI, speech intelligence, and real-time voice translation platforms from conceptual R&D to enterprise-ready General Availability (GA). Architecting high-throughput asynchronous execution layers, multi-track audio orchestration pipelines, and parallelized multi-agent AI development workflows that scale to support hundreds of thousands of live operational requests across global markets.",Bangalore Urban,Aug 2025,
Sanas,Full Stack Engineer,,Bangalore Urban,Nov 2024,Aug 2025
NeuraSignal,Software Engineer,"Spearheaded cloud-native backend infrastructures, serverless telemetry pipelines, and secure healthcare data exchange systems on Google Cloud Platform (GCP) for advanced medical robotics deployments. Pioneered the integration of generative LLMs and OpenAI assistant APIs to automate multi-tiered UI, API, and clinical requirement verification, significantly slashing release latencies while maintaining strict HIPAA compliance.",Bangalore Urban,Nov 2020,Nov 2024
Gadjoy Repair Services,Repair Specialist,,Bangalore Urban,Nov 2016,Nov 2024
Tech Mahindra,Senior Engineer,"Delivered mechanical tool development, precision manufacturing design, and structure configuration for high-stakes industrial locomotive and mass transit infrastructure projects. Managed the end-to-end design and structural fabrication of heavy-duty installation fixtures, lifters, and templates deployed across major municipal networks including the Perth, Mumbai, and Singapore Metro lines.",Bangalore Urban,Jan 2018,Jan 2021
Gadjoy Repair Services,Founder,"Founded and scaled a bootstrapped consumer electronics enterprise specializing in chip-level hardware diagnostics, component repairs, and operating logistics. Expanded business throughput to manage over 1,000 devices and 100+ customers monthly while maintaining a 4.7+ customer satisfaction rating across multiple public platforms. Internally engineered custom inventory tracking and device monitoring ledger software, developing early foundational database structures that streamlined operational turnaround times.",,Nov 2016,Nov 2020
Legend Technologies India Private Limited,Lead Project Engineer,"Directed the end-to-end mechanical engineering, 3D kinematic modeling, and tool proving of ultra-high-precision jigs, fixtures, and structural components for premier aerospace, defense, and nuclear energy entities. Accountable for cross-functional project management, vendor liaisons, and technical design packages supporting crucial programs for ISRO, Safran, Air India, and Bharat Electronics.",Bangalore,Apr 2016,Jan 2018
Legend Technologies India Private Limited,Senior Engineer,,,Sep 2014,Mar 2016
Legend Technologies India Private Limited,Engineer,,Bangalore,Jan 2013,Aug 2014
Safran Engineering Services,Trainee Engineer,"Contributed to the mechanical design, optimization, and drafting of primary and secondary structures for the landmark Airbus A350 XWB aviation program. Developed structural installation brackets, generated manufacturing-ready engineering packages (DFM), and configured precision electrical harness routing parameters mapped against rigorous international aerospace safety and flight test standards.",Bangalore,Aug 2011,Dec 2012
