Question,Answer
How many years of work experience do you have with Conversational AI?,4
How many years of work experience do you have with pytest?,5
How many years of work experience do you have with MLOps?,5
How many years of work experience do you have with LangChain?,3
Cover letter,
How many years of work experience do you have with Java?,0
We must fill this position urgently. Can you start immediately?,Yes
How many years of work experience do you have with PySpark?,5
How many years of work experience do you have with Databases?,5
Race/Ethnicity,Asian (Not Hispanic or Latino)
How many years of work experience do you have with Relational Databases?,5
Description,
How many years of IT experience do you currently have?,5
Major / Field of study,
How many years of work experience do you have with R (Programming Language)?,5
How many years of work experience do you have with Cascading Style Sheets (CSS)?,5
How many years of work experience do you have with SQL?,5
How many years of work experience do you have with Selenium?,4
How many years of work experience do you have with Jenkins?,5
How many years of work experience do you have with AngularJS?,0
How many years of work experience do you have with Low-Level Design?,6
How many years of work experience do you have with Cloud Services?,5
How many years of work experience do you have with HTML5?,5
How many years of work experience do you have with .NET Framework?,0
How many years of work experience do you have with AI Agents?,4
How many years of work experience do you have with Cursor AI?,4
Veteran status,NotProtectedVeteran
State / Province,
How many years of work experience do you have with Kubernetes?,5
What is your level of proficiency in ara?,None
How many years of work experience do you have with Vue.js?,5
First name,
How many years of work experience do you have with Linux?,5
How many years of work experience do you have with Perl?,0
How many years of work experience do you have with Communication?,3
How many years of work experience do you have with REST APIs?,5
How many years of work experience do you have with NoSQL?,2
How many years of work experience do you have with C#?,0
How many years of work experience do you have with Node.js?,6
How many years of work experience do you have with RESTful architecture?,5
<strong>Disability</strong>,No
How many years of work experience do you have with Apache Spark?,5
How many years of work experience do you have with Redis?,5
How many years of work experience do you have with Google Cloud Platform (GCP)?,5
How many years of work experience do you have with Pandas (Software)?,6
Do you have a valid driver's license?,Yes
Are you comfortable working in a hybrid setting?,Yes
How many years of work experience do you have with React.js?,5
How many years of work experience do you have with Scala?,0
How many years of work experience do you have with Docker Products?,5
Gender,Male
Company,
Last name,
How many years of ENG experience do you currently have?,15
How many years of work experience do you have with Artificial Intelligence (AI)?,4
How many years of work experience do you have with Microsoft Azure Machine Learning?,5
Degree,
How many years of work experience do you have with Twitter?,0
How many years of work experience do you have with HTML?,5
How many years of work experience do you have with Distributed Systems?,6
How many years of work experience do you have with JSON?,5
How many years of work experience do you have with MySQL?,5
Have you completed the following level of education: Master's Degree?,No
How many years of work experience do you have with TensorFlow?,0
How many years of work experience do you have with PyTorch?,0
Your title,
Location (city),
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
Please submit a resume or LinkedIn profile, -1192586049.pdf
How many years of work experience do you have with Android?,5
Are you comfortable working in an onsite setting?,Yes
How many years of work experience do you have with Unix?,5
How many years of urn:li:industry:4 experience do you currently have?,5
How many years of work experience do you have with Open-Source Software?,5
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with MongoDB?,5
