Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
SOLIDWORKS: Designing a Stirling Engine,"Expand your SOLIDWORKS 3D CAD skills by learning how to design a machine with moving parts. In this course, learn through designing the components of an early-19th-century rival to the steam engine. Follow along with Johno Ellison as he leads you through the steps for creating a Stirling engine, a closed-cycle heat engine invented by Robert Stirling in 1816. Johno shows how to use SOLIDWORKS to create all the parts, combine the parts into an assembly, and prepare drawings for the final product. Johno also provides tips and ideas for moving the creation from a virtual to physical design.",Course,2021-07-10 04:16 UTC,N/A,false,N/A,
Six Sigma Foundations,"Learn how to apply Six Sigma to drive improvements in the performance of your processes, products, and services. Dr. Richard Chua explains the fundamentals of Six Sigma—a customer-focused, data-driven approach to improvement. He'll go over the basic concepts, including critical-to-quality (CTQ) requirements, variation, defects per million opportunities (DPMO), the roles and belts of Six Sigma professionals, and the criteria for identifying Six Sigma projects successfully. The rest of the course walks through the five phases of Six Sigma DMAIC—Define, Measure, Analyze, Improve, and Control—and the steps, data, and key deliverables involved in each phase.",Course,2022-04-01 00:19 UTC,N/A,false,N/A,
SQL Server Fundamentals: Master Basic Query Techniques,"Do you want to learn about SQL but aren’t sure where to start? In this beginner-level course, instructor Julianne Thouin covers basic concepts of relational database design and explains how to write simple SELECT statements using joins and proper filtering. Julianne explains what SQL Server is and what it is used for. Next, she shows how tables in a relational database relate to one another through surrogate, primary, and foreign keys. Julianne teaches you how to tackle the most basic query possible. She explains how AND and OR logic applies to filtering queries on more than one data point, then discusses INNER joins and OUTER joins. Julianne covers how to use subqueries for filtering your results. She walks you through some commonly used examples of built-in functions. In conclusion, Julianne shows you how aggregate functions work using the GROUP BY and HAVING clauses. Practice what you learn with hands-on challenges!",Course,2021-01-24 18:09 UTC,N/A,false,N/A,
Training Neural Networks in C++ (2021),"Learn about the purpose, structure, and training process of neural networks to improve your machine learning skills. In this project-based course, instructor Eduardo Corpeño teaches you how to create an intelligent system with a neural network from scratch in C++, as well as how to choose the right neural network architecture and training method for each problem. Eduardo starts by explaining the difference between a neural network and other programming tools. He goes over why this course uses C++ and how to add different types of neural networks to your toolbox. The inspiration for artificial neural networks is the brain, and Eduardo relates parts of a biological neuron to C++ elements, then shows how to use activation functions and perceptrons in building neuron models. Eduardo covers the steps you will need to build and train your network. He explains segment display recognition, then guides you through designing and training your own SDR neural network.",Course,2023-02-20 04:19 UTC,N/A,false,N/A,
Nano Tips to Ditch Self-Doubt with Shade Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to overcome self-doubt and leverage a growth mindset, following advice and practical, easy-to-apply insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Discover strategies to manage self-doubt as a sign of progress, build confidence, and visualize outcomes while preparing for complex challenges. Learn to embrace discomfort for growth, counteract anxiety with intentional actions, and focus on personal progress by letting go of perfection. Along the way, Shadé shares techniques to help you control your mental narrative, identify self-doubt, and build empathy and self-compassion by focusing on positive traits in others.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-12-07 09:05 UTC,N/A,false,N/A,
CSS Essential Training (2019),"Cascading Style Sheets (CSS) is a stylesheet language that allows you to control the appearance of your webpages. In this hands-on course, Christina Truong demonstrates the concepts that form the foundation of CSS, explaining what you need to know to tweak existing CSS and write your own. Christina explains how to add colors and other design elements to take your webpages beyond just black text on a white background. She shows how to use selectors, how the box model defines the spacing and sizing of page elements, and how to style text and manage basic layouts with Flexbox and Grid. She also covers working with advanced selectors, creating fluid layouts, and determining when to use the float and position properties. Plus, at the end of the course, you'll walk away with an actual project—an online résumé page.",Course,2022-05-04 03:55 UTC,N/A,false,N/A,
Software Architecture: Patterns for Developers (2020),"As a developer, you're ultimately building software to solve problems for your users. But a successful application also needs to be easy for you and other developers to work with. Enter software architecture patterns. These trusted solutions allow you to translate complex architectural problems to recognizable patterns. In this course, instructor Peter Morlion covers a variety of software architecture patterns, showing you how to apply the correct architecture to new systems and recognize patterns in existing systems. Peter goes over application landscape patterns such as microservices. He also covers application structure patterns like event sourcing, as well as UI patterns like model-view-controller (MVC). Along the way, he shares pros and cons that help you determine which patterns to use.",Course,N/A,N/A,true,N/A,
Build AI Agents and Chatbots with LangGraph,"<p>Conversational chatbots are growing in popularity, and nearly every product or service supports one today. Agentic AI provides capabilities that can provide chatbots with higher levels of autonomy and value. In this course, instructor Kumaran Ponnambalam helps you to apply agentic AI to build sophisticated chatbots that can provide the next generation of self-service. Kumaran takes you through the step-by-step process of building a chatbot with agentic capabilities using LangChain and LangGraph, and discusses best practices for building agentic chatbots.</p>

<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out “Setting up GitHub Codespaces"" with this course to learn how to get started.</p>",Course,2026-05-25 03:39 UTC,N/A,false,N/A,
C# and .NET Essential Training,"Microsoft .NET is a modern, cross-platform framework for developing applications for the web, desktop, and mobile devices. This course gives an introduction to some of the features of .NET that makes building applications easier, more performant, and more productive. Veteran technologist Joe Marini demonstrates how to use built-in capabilities of .NET such as string processing, data collection types, number and date formatting, reading and writing files, and even working with regular expressions. Joe also introduces hands-on code challenges to help you practice what you learn. By using these built-in features, you can focus more on your core application logic and less on having to build common capabilities from scratch.",Course,N/A,N/A,true,N/A,
Windows Server Hybrid Administrator Associate (AZ-800) Cert Prep: 2 Manage Windows Servers and Workloads in a Hybrid Environment,"In this course, Seema Rahman shows you the key concepts and skills you need to know to prepare for and tackle the Microsoft AZ-800: Administering Windows Server Hybrid Core Infrastructure certification exam. Go over topics related to Windows servers and workloads in a hybrid environment, including: Windows server administration tools; managing hybrid AD DS environments; Hyper-V virtualization, Azure image and automation; and more. Plus, get exam tips specific to this domain of the AZ-800 certification.",Course,2024-10-31 03:11 UTC,N/A,false,N/A,
Nano Tips to Boost Productivity with Shadé Zahrai,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai teaches tips for increasing your productivity. Shadé shows you techniques to help you start your tasks more efficiently and provides strategies to help you maintain your focus. She also shares some essential productivity principles to help you recalibrate your mindset and boost your productivity.",Course,2025-11-01 20:21 UTC,N/A,false,N/A,
Ten Tips for the C# Developer (2020),"C# and .NET are deep areas. Even if you’ve been a developer for years, there are bound to be features you don’t even know exist. In this course, take a look at some of the hidden or interesting methods that can help you write better code in this multifaceted programming language. Hear tips for improving your everyday workflows in C# development including a method to help avoid race conditions when working with a dictionary. Learn how to use pattern matching to create more expressive and readable code branches. Explore the new C# 8 slice operators and how and when to flatten a one-many relationship. Discover fresh tactics like how to and engage another programmer’s technique, use the DebuggerDisplay attribute to specify what information is shown, and more.",Course,2022-07-04 17:51 UTC,N/A,false,N/A,
Chat with Your Data Using ChatGPT,"Discover how to build an intelligent agent that can retrieve, reason, and remember. In this hands-on course, you will create an agentic RAG (retrieval-augmented generation) system that connects a language model to real-world data to enable dynamic question answering and discovery. You will start by setting up your development environment and preparing a dataset, then build an agent capable of autonomous reasoning, retrieval, and long-term memory. Along the way, you will extend your agent with custom tools for translation, analysis, and pattern detection to transform it into a research assistant. By the end of the course, you will have a working interactive agent that can chat with your data and a clear blueprint for adapting agentic RAG systems to real-world use cases.",Course,2026-06-02 18:49 UTC,N/A,false,N/A,
Data Ingestion with Python,"A sizable portion of a data scientist's day is often spent fetching and cleaning the data they need to train their algorithms. In this course, learn how to use Python tools and techniques to get the relevant, high-quality data you need. Instructor Miki Tebeka covers reading files, including how to work with CSV, XML, and JSON files. He also discusses calling APIs, web scraping (and why it should be a last resort), and validating and cleaning data. Plus, discover how to establish and monitor key performance indicators (KPIs) that help you monitor your data pipeline.",Course,2024-10-29 17:43 UTC,N/A,false,N/A,
Power BI Essential Training (2024),"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2023-07-18 13:22 UTC,2023-07-18 13:18 UTC,true,N/A,
Nano Tips for Effortless Conversations with Shadé Zahrai and Jefferson Fisher,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to cultivate and sustain effortless conversations, following advice and practical, easy-to-apply insights from award-winning leadership strategist and peak performance educator Dr. Shadé Zahrai, and trial attorney, best-selling author, and globally recognized communication expert Jefferson Fisher. Shadé and Jefferson offer tips for confidently responding to common questions, recovering from awkward moments, engaging in small talk, and more. Along the way, discover techniques to build trust, maintain balanced conversations, use nonverbal cues, navigate silences, and stay fully present. By the end of this course, you’ll have the confidence and ease to turn everyday conversations into opportunities for stronger connection and influence.</p><p>This course was created by Shadé Zahrai and Jefferson Fisher. We are pleased to host this training in our library.</p>",Course,2025-11-15 04:37 UTC,N/A,false,N/A,
JavaScript: Hashmaps,"Hashmaps are a very useful data structure in programming languages. In JavaScript, data is stored in key-value pairs, using hashmaps to allow for quick retrieval of data. In this course, software engineer and web evangelist Tiffany Graves covers what hashmaps are and why they are used. Learn how the built-in functions for hashmaps, get() and set(), offer quick data retrieval, which leads to an optimal time complexity. Explore the relatively optimal space complexity of Hashmaps in JavaScript, as well.  Plus, dive into a discussion of hashing and the basics of what a hash function is.",Course,2026-06-11 18:25 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2021-02-08 18:45 UTC,N/A,false,N/A,
Nano Tips for Delegating to Peers with Melody Wilding,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course Melody Wilding teaches you how to delegate to peers, cross-functional partners, and dotted line team members. Discover how to assign work when you don’t have formal authority, create buy-in and accountability, and address missed deadlines and poor work quality.",Course,2026-06-15 16:27 UTC,N/A,false,N/A,
Dieter Rams: Principles of Good Design,"In his 50+ years of product design, Dieter Rams has left an indelible mark on the field with his iconic work at Braun and Vitsœ. The objects Dieter has designed have touched the lives of millions of people who have owned a Braun coffeemaker or stereo, an Oral-B toothbrush, or a Vitsœ 606 shelving system. Or any of the hundreds of other products Dieter has designed or overseen. This film is a documentary portrait by Gary Hustwit following one of the most influential designers alive. Gary interviews Dieter about his life and work, as he ruminates on consumerism, sustainability, and the future of design.<br><br>

This film was created by Gary Hustwit. We are pleased to offer this documentary in our library.",Course,2022-11-19 12:59 UTC,N/A,false,N/A,
