Title,Description,Url,Started On,Finished On
Design & Development of High Amperage Slipring for High Temperature Electro-refining of Spent Nuclear Fuel,"Provide design solutions at pace, which meet customer, design and regulatory requirements whilst managing the balance of key product attributes of cost, weight, performance and delivery. Design, development, material selection | Procurement, prototyping & testing of an Electro-mechanical device for civil nuclear use.",,Sep 2015,Dec 2015
Fabrication of Filament Wound Carbon Epoxy Shells & Laminates,"Key Manufacturing representative for Manufacturing Transfer. Material Selected, Filament Wound, Oven Cured, Machined, Tested for fabricating a high glass temperature composites.",,Mar 2015,Aug 2015
Modelling of BMP II Turret for Space Studies for FICV (Futuristic Infantry Combat Vehicle),Modelling of legacy drawings with a team that was quickly ramped up at onsite location. To deliver the complete assembly along with kinematic simulations for space study.,,Nov 2014,Mar 2015
"Design Components, Subassemblies & Generate Installation Drawings & BOM for Flight Test Installation (FTI) [Wing, Pylon & Landing Gear] for Airbus A350",,,Mar 2012,Dec 2012
"Design Components, Subassemblies & BOM for Installation Standard Electric (ISE) [Fuselage Sections S11/12, S13/14, S15/21, S16/18] for Airbus A350 XWB",,,Aug 2011,Feb 2012
Venus - Medical Progressive Web application,"Project Overview: The Venus project at NovaSignal focused on developing the NovaGuide View Cloud App, a cloud-based platform for managing Transcranial Doppler (TCD) exams. This app facilitated secure real-time uploading, storing, and viewing of TCD data using Google Cloud Platform (GCP). Key features included live streaming, advanced Circle of Willis (CoW) visualizations, and physician-entered interpretations stored as DICOM files.  Key Contributions: •	Automated and manually tested the core, reporting, and qCH modules. •	Developed a DICOM Decoder Tool to automate the verification and validation of DICOM SR and images, ensuring compliance with DICOM TID 5100 standards. •	Conducted thorough testing to ensure PHI protection, preventing data leaks or mishandling. •	Validated critical attributes, values, and file conformance using exam.json and sequence_repository.json for structural consistency. •	Supported verification for various exam types, including custom protocols, monitoring, emboli detection, and VMR exams. •	Integrated the Decoder Tool into CI/CD pipelines using Jenkins, with automated validation through PyTest. •	Implemented additional validation checks using a five-way structural design pattern to ensure conformance of DICOM images.  Technologies Used: •	Languages: Python,  •	Frameworks & Libraries: PyTest,  •	Tools: Jenkins, Git, Docker, Terraform •	Standards: DICOM, PHI Compliance •	Cloud: Google Cloud Platform (GCP), Google Cloud Run  Impact: •	Increased Efficiency: Automated DICOM file verification, reducing manual efforts and minimizing errors. •	Enhanced Compliance: Ensured strict adherence to DICOM standards, avoiding costly errors. •	Improved Reliability: Developed robust processes, reducing bugs in medical imaging data validation. •	PHI Security: Ensured comprehensive protection of patient data by thoroughly testing all tool outputs and processes.",,Feb 2021,Jun 2021
Europa - Medical Progressive Web application,"Project Overview:  Europa is a cloud-based project focused on automating the management, processing, and analysis of medical imaging data to improve clinical decision-making. Key focus areas include automating backend API development, setting up server-side frameworks, and creating reusable project templates for deployment in a medical environment.  Key Contributions: •	API Automation: Led the automation of RESTful API development, enabling faster iterations and scaling across multiple environments. •	Flask Backend Framework: Developed a reusable Flask-based backend framework for API integration, automating key backend functions. •	Linux Templates: Created standardized Linux templates for server-side deployment, ensuring consistency and reducing setup time.  Technologies Used: •	Languages/Frameworks: Python (Flask), Docker •	Cloud Platforms: GCP •	APIs/Protocols: RESTful APIs  Impact: •	50% Reduction in Deployment Time: Automation reduced manual setup time, accelerating development cycles. •	30% API Performance Boost: Optimized APIs improved response times, enhancing data retrieval efficiency for users. •	Enhanced Security and Compliance: Ensured encryption, secure uploads, and adherence to healthcare standards (HIPAA). •	Scalability: Supported 200% user growth by leveraging cloud-based architecture for dynamic scaling.",,Nov 2020,Feb 2021
Design & Fabrication of Jigs & Fixtures - Singapore Metro,"Bogie Cross Beam Assy, Bogie Side Beam Assy, Bogie Main Integration",,Jan 2019,Jul 2019
Design & Fabrication of Jigs & Fixtures - E-Loco,"Fitting Templates, Bogie Templates",,Aug 2019,Jan 2020
Design & Fabrication of Jigs & Fixtures - Mumbai ML3 Metro,"Sidewall fixtures, templates, Installation fixtures - HVAC, Gangway",,Jan 2020,Jun 2020
